ciudad,temperatura,unidad
Las Vegas_208,3.8,F
Honolulu_209,85.5,F
Mumbai_210,40.8,C
Mumbai_211,70.5,F
Pekín_212,100.3,F
Phoenix_213,-7.6,F
Roma_214,12.5,C
Bogota_215,-8.3,C
Auckland_216,102.1,F
Bangkok_217,84.4,F
Berlin_218,-4.3,C
Lisboa_219,105.4,F
Berlin_220,116.5,F
Bogota_221,-15.3,C
Melbourne_222,41.3,F
Santiago_223,-9.9,C
Reykjavik_224,5.8,F
Madrid_225,5.4,F
Buenos Aires_226,53.1,F
Buenos Aires_227,47.4,C
Lima_228,13.8,F
Guadalajara_229,101.7,F
Tokio_230,-3.4,F
Atenas_231,18.2,C
Roma_232,47.3,F
Honolulu_233,86.9,F
Puebla_234,42.2,F
Budapest_235,-18.8,C
Tokio_236,-2.1,F
Cairo_237,-2.8,F
Lisboa_238,46,C
Seattle_239,7.2,F
Sydney_240,84.4,F
Las Vegas_241,19.8,C
Helsinki_242,21,C
Puebla_243,74.6,F
Dubai_244,-21.8,C
Berlin_245,43.2,F
Nueva York_246,-1.4,C
Helsinki_247,-10.9,C
Reykjavik_248,95.8,F
Toronto_249,20.3,C
Ankara_250,64.2,F
Reykjavik_251,25.5,F
Lima_252,88.4,F
Reykjavik_253,10,C
Tokio_254,-3.1,F
Phoenix_255,0.2,F
Seattle_256,-10.2,C
Singapur_257,42,C
Singapur_258,21.6,C
Buenos Aires_259,48.7,C
Singapur_260,87.6,F
Varsovia_261,-16.9,C
Miami_262,109,F
Los Angeles_263,96.1,F
Monterrey_264,105.2,F
CDMX_265,-18.7,C
Honolulu_266,29.8,C
Boston_267,24.9,C
Buenos Aires_268,110.2,F
Nueva York_269,8.1,C
Boston_270,65.2,F
Seattle_271,36.3,C
Pekín_272,91.8,F
Paris_273,96,F
Chicago_274,-17.8,F
Buenos Aires_275,-2.9,F
Boston_276,36.8,F
Miami_277,13.8,C
Los Angeles_278,-18.7,C
Caracas_279,101.7,F
Phoenix_280,20.8,C
Auckland_281,15,C
Londres_282,10.8,C
Londres_283,4.6,C
Guadalajara_284,49.3,C
Pekín_285,-17,C
Buenos Aires_286,64.2,F
Helsinki_287,61.8,F
Varsovia_288,-18.3,C
Caracas_289,103.5,F
Bogota_290,-3,F
Moscu_291,38.4,C
Bangkok_292,15.8,C
Santiago_293,92.5,F
Boston_294,-11.9,C
Berlin_295,37.3,F
Helsinki_296,93.1,F
Tijuana_297,-25.1,C
Cairo_298,14.3,F
Miami_299,-15.1,F
Nairobi_300,63.4,F
Auckland_301,12.1,F
Miami_302,17,F
Santiago_303,22.4,F
Pekín_304,35.3,F
Ankara_305,68.2,F
Cancun_306,98.9,F
Nairobi_307,0.8,C
Madrid_308,20.1,F
Atenas_309,-23,C
Seattle_310,-13.9,C
Mumbai_311,27.8,C
Londres_312,-11,C
Tokio_313,19.7,C
Budapest_314,8.6,C
Dubai_315,44.7,C
Phoenix_316,-18,C
Buenos Aires_317,-8.8,F
Lagos_318,74.1,F
Los Angeles_319,2.8,C
Mumbai_320,5.2,F
Santiago_321,98.1,F
Guadalajara_322,-3,C
Melbourne_323,-29.2,C
Lagos_324,-3.2,C
Nairobi_325,-5.8,C
Tijuana_326,10.5,C
Lima_327,66.9,F
Toronto_328,-11.3,F
Boston_329,84.7,F
Puebla_330,31.7,C
Bangkok_331,19.8,C
Monterrey_332,-2.6,C
Nueva York_333,59.8,F
Londres_334,-10.3,C
Mumbai_335,48.2,C
Mumbai_336,22,F
Estocolmo_337,21.9,F
Reykjavik_338,13.4,C
CDMX_339,73.7,F
Puebla_340,-13.4,C
Guadalajara_341,50,C
Seattle_342,-0.3,C
Houston_343,-2.8,F
Caracas_344,73.7,F
Buenos Aires_345,30.9,C
Las Vegas_346,85.2,F
Cairo_347,25.4,C
Boston_348,106.4,F
Melbourne_349,32.6,F
Santiago_350,103.7,F
Bangkok_351,-1.5,F
Melbourne_352,23.9,C
Auckland_353,-3.3,C
Guadalajara_354,96.5,F
Buenos Aires_355,6.3,F
Auckland_356,-12,C
Lagos_357,64.6,F
Tijuana_358,39,F
Monterrey_359,101.9,F
Honolulu_360,-1.9,C
Lisboa_361,101.9,F
Las Vegas_362,45.6,F
Seattle_363,89.3,F
Las Vegas_364,51.7,F
Madrid_365,-10,C
Varsovia_366,24.3,C
Buenos Aires_367,65.5,F
Houston_368,61.9,F
Phoenix_369,21.8,C
Atenas_370,30.1,C
Las Vegas_371,-20.4,F
Cancun_372,-24.7,C
Madrid_373,17.5,C
Puebla_374,-5.9,F
Puebla_375,18.6,C
Budapest_376,13.7,C
Paris_377,71.8,F
Reykjavik_378,25.1,F
Las Vegas_379,46.9,C
Singapur_380,40.7,F
Las Vegas_381,59.3,F
Miami_382,-15.5,C
Oslo_383,27.4,C
Atenas_384,4.3,C
Paris_385,-6.7,C
Tokio_386,-21.8,F
Paris_387,28.9,C
Boston_388,16.7,F
Londres_389,13.4,C
Paris_390,11.5,C
Santiago_391,63.2,F
Madrid_392,-17.4,C
Nairobi_393,48.7,F
Singapur_394,15.6,C
Phoenix_395,-8.5,F
Ankara_396,105,F
Madrid_397,-16.9,F
Houston_398,14,C
Moscu_399,43.8,C
Boston_400,39,C
Lima_401,90.5,F
Lagos_402,43,F
Madrid_403,78.6,F
Londres_404,-22,C
Miami_405,-13.1,F
Cancun_406,-1.5,F
Varsovia_407,34.9,C
Caracas_408,61.9,F
Moscu_409,29.2,C
Roma_410,29,C
Monterrey_411,49.1,F
Boston_412,37.5,C
Budapest_413,24,C
Phoenix_414,22,F
Las Vegas_415,55,F
Dubai_416,-29,C
Caracas_417,33.9,C
Monterrey_418,-25.9,C
Caracas_419,-11,C
Estocolmo_420,94.5,F
Buenos Aires_421,31.4,C
Denver_422,-11.9,C
Auckland_423,72.9,F
Estocolmo_424,63.7,F
Puebla_425,69.8,F
Lima_426,61.3,F
Sydney_427,99.5,F
Estocolmo_428,21.1,F
Nairobi_429,-21,C
Tokio_430,76.1,F
Santiago_431,18.7,F
Miami_432,120.4,F
Monterrey_433,-12.7,C
CDMX_434,15.9,C
Lima_435,1.5,F
Reykjavik_436,5.9,C
Tokio_437,-13.8,C
Cancun_438,2.8,F
Cancun_439,42.4,C
Ankara_440,48,C
Honolulu_441,18.1,F
Melbourne_442,13.3,F
Bangkok_443,-24.4,C
Buenos Aires_444,42.2,C
Sydney_445,47.8,F
Honolulu_446,53.2,F
Atenas_447,-15.1,C
Varsovia_448,20.3,F
Madrid_449,73.2,F
Boston_450,24,C
Houston_451,27.6,C
Auckland_452,5.3,F
Bogota_453,33.9,C
Bangkok_454,26.7,C
Toronto_455,2.7,F
Helsinki_456,59.6,F
Ankara_457,-25.1,C
Chicago_458,27.5,F
Budapest_459,43.3,C
Varsovia_460,10.2,C
Cancun_461,51.6,F
Honolulu_462,-0.1,C
Buenos Aires_463,34.1,F
Moscu_464,-6,C
Monterrey_465,78.4,F
Caracas_466,87.1,F
Lisboa_467,36.5,C
Varsovia_468,-10.5,C
Dubai_469,33.7,C
Helsinki_470,84.6,F
Caracas_471,4.1,C
Miami_472,91.6,F
Ankara_473,24.9,F
Seattle_474,2.9,C
Honolulu_475,16.3,C
Bangkok_476,90.8,F
Atenas_477,12,C
Miami_478,1.3,C
Bogota_479,-4.6,F
Tokio_480,52.7,F
Lisboa_481,109.6,F
Bogota_482,89.6,F
Tijuana_483,54.6,F
Londres_484,70.6,F
Monterrey_485,54.5,F
Atenas_486,-15,C
Las Vegas_487,0.3,F
Madrid_488,-18.9,C
Guadalajara_489,48.7,F
Nairobi_490,-15.9,F
Chicago_491,-19.1,C
Varsovia_492,15.3,F
Bangkok_493,26.2,F
CDMX_494,19.8,C
Las Vegas_495,27.6,C
Dubai_496,33.8,F
Lima_497,38.5,F
Los Angeles_498,48.9,F
Atenas_499,57.5,F
Helsinki_500,-3.2,C
Oslo_501,-30,C
Phoenix_502,19.1,C
Nueva York_503,88.5,F
Nairobi_504,47.5,C
Miami_505,28.7,C
Las Vegas_506,30.6,C
Monterrey_507,111.2,F
Londres_508,0.1,C
Tijuana_509,43.2,C
Mumbai_510,-0.4,F
Oslo_511,-9.9,C
Moscu_512,38.3,C
Cairo_513,-16.2,C
Melbourne_514,-20.9,C
Cancun_515,-7.2,C
Buenos Aires_516,0.3,C
Reykjavik_517,-10.8,C
Toronto_518,10.7,C
Lisboa_519,-5.6,C
Sydney_520,9.8,F
Sydney_521,10.2,F
Pekín_522,-10.7,C
Buenos Aires_523,-28.9,C
Cairo_524,57.8,F
Phoenix_525,-15,C
Lagos_526,74.7,F
Lima_527,9.2,F
Guadalajara_528,24.9,F
Tijuana_529,43.5,F
Tijuana_530,18.4,C
Helsinki_531,25.8,F
Tijuana_532,16.4,C
Berlin_533,-11.1,F
Santiago_534,-21.8,F
Estocolmo_535,9.7,C
Ankara_536,60.4,F
Sydney_537,-22.5,C
Boston_538,61.6,F
Guadalajara_539,-8.4,F
Ankara_540,46.6,F
Singapur_541,115.1,F
Atenas_542,47.7,C
Cairo_543,23.6,F
Madrid_544,41.7,C
Paris_545,37.1,C
Auckland_546,65.7,F
Helsinki_547,-12.8,F
Miami_548,18.1,F
Pekín_549,19.6,C
Phoenix_550,-7.7,C
Nueva York_551,2,C
Los Angeles_552,-21.7,C
Guadalajara_553,44.2,F
Oslo_554,-21.9,C
Madrid_555,-6.2,C
Mumbai_556,14.9,F
Atenas_557,64.7,F
Ankara_558,53.1,F
Phoenix_559,-17.6,C
Buenos Aires_560,66.6,F
Bogota_561,91.4,F
Sydney_562,50,C
Londres_563,24.7,C
Reykjavik_564,18.8,C
Moscu_565,19.1,C
Tokio_566,2.6,C
Dubai_567,63,F
Seattle_568,7.2,F
Santiago_569,96.9,F
Santiago_570,-8.9,C
Berlin_571,-20.8,C
Boston_572,14.1,F
Boston_573,116.9,F
Cairo_574,64.2,F
Tijuana_575,32.9,C
Phoenix_576,-15.7,C
Denver_577,101.2,F
CDMX_578,28.7,C
Varsovia_579,44.4,F
Houston_580,43,F
Oslo_581,-16.7,F
Monterrey_582,34,C
Guadalajara_583,115.3,F
Cairo_584,35.6,C
Lima_585,64.1,F
Sydney_586,7.8,C
Tokio_587,-11,C
Melbourne_588,29.3,C
Phoenix_589,81.8,F
Londres_590,27.8,F
Puebla_591,45.2,F
Dubai_592,41.6,C
Monterrey_593,38.9,C
Budapest_594,-2.1,C
Toronto_595,118.2,F
Berlin_596,111.5,F
Bangkok_597,121.9,F
Bogota_598,85.5,F
Phoenix_599,5.1,C
Guadalajara_600,4.5,C
Reykjavik_601,119.3,F
Guadalajara_602,24.2,F
Bangkok_603,19.8,C
Berlin_604,80.3,F
Madrid_605,46.4,C
Denver_606,13.7,C
Auckland_607,23.2,C
Puebla_608,2.5,C
Varsovia_609,-11.4,C
Roma_610,48.9,C
Estocolmo_611,-17.4,C
Paris_612,23.4,F
Roma_613,36.9,F
Paris_614,5.4,C
Nairobi_615,47.5,C
Berlin_616,-3.8,C
Chicago_617,-24.1,C
Roma_618,28.9,C
Roma_619,-13.4,F
Estocolmo_620,46.7,C
Los Angeles_621,-22,C
Singapur_622,-0.4,F
Miami_623,6.7,C
Singapur_624,27.2,C
Oslo_625,76.6,F
Buenos Aires_626,120,F
Bangkok_627,-9.9,C
Oslo_628,82.5,F
Budapest_629,24,C
Helsinki_630,10.1,F
Berlin_631,8.8,C
Budapest_632,38.6,C
Monterrey_633,64.9,F
Lisboa_634,19.3,C
Cairo_635,27.8,C
Nairobi_636,-27.6,C
Oslo_637,0.3,F
Madrid_638,24.3,F
Cancun_639,-26.3,C
Helsinki_640,-29.4,C
Pekín_641,-16.7,F
Toronto_642,37.9,C
Varsovia_643,-14,C
Chicago_644,33.3,C
Madrid_645,-20.8,C
Lisboa_646,-21.7,F
Reykjavik_647,40.9,C
Estocolmo_648,113.5,F
Budapest_649,76.2,F
Estocolmo_650,7,C
Londres_651,67,F
Chicago_652,13,C
Honolulu_653,24.6,C
Varsovia_654,-16.1,F
Mumbai_655,21.1,F
Las Vegas_656,-21.4,F
Reykjavik_657,85.8,F
Nueva York_658,2.2,C
Nueva York_659,104.6,F
Budapest_660,66.4,F
Miami_661,-19.4,C
Dubai_662,-2.6,F
Madrid_663,-27.9,C
Auckland_664,4.4,C
Caracas_665,15.4,C
Oslo_666,77.2,F
Miami_667,32.5,C
Roma_668,-29.7,C
Dubai_669,9.2,F
Miami_670,105.2,F
Monterrey_671,-19.9,C
Auckland_672,34.5,F
Phoenix_673,-2.8,F
Bangkok_674,-11,C
Los Angeles_675,-23.6,C
Toronto_676,60.3,F
Madrid_677,-23.5,C
Houston_678,47,C
Singapur_679,65.9,F
Auckland_680,10.7,C
Singapur_681,105.9,F
Caracas_682,14.5,C
Lisboa_683,107.2,F
Nueva York_684,44.4,F
Varsovia_685,1.7,F
Berlin_686,-10.5,C
Londres_687,16.5,C
Nairobi_688,30.7,F
Monterrey_689,27.2,F
Atenas_690,7,C
Melbourne_691,16.3,C
Pekín_692,75.1,F
Singapur_693,47.6,C
Las Vegas_694,41.3,C
Auckland_695,35.4,F
Sydney_696,17.2,C
Phoenix_697,43.8,F
Budapest_698,69.8,F
Monterrey_699,-23,C
Berlin_700,29.4,C
Budapest_701,11.4,C
Sydney_702,111.9,F
Paris_703,31,C
Moscu_704,99.6,F
Roma_705,-6.9,F
Budapest_706,-3.7,C
Phoenix_707,-1.8,F
Caracas_708,-4.9,C
Guadalajara_709,33.4,C
Nueva York_710,21,C
Estocolmo_711,77.2,F
Roma_712,92.9,F
Berlin_713,8.5,F
Bogota_714,111.9,F
Seattle_715,110,F
Toronto_716,2.6,C
Lagos_717,-3.7,C
Las Vegas_718,79.7,F
Seattle_719,112.7,F
Buenos Aires_720,108.1,F
Denver_721,61,F
Santiago_722,112.7,F
Seattle_723,11.2,C
Berlin_724,-3.4,F
Varsovia_725,-7.7,F
Las Vegas_726,73.1,F
Singapur_727,26.1,C
Buenos Aires_728,-16.4,F
Nueva York_729,-21,F
Ankara_730,-21.1,C
Miami_731,4.8,C
Auckland_732,18.7,C
Monterrey_733,11.2,C
Monterrey_734,-16.8,F
Varsovia_735,16.7,F
Lisboa_736,15.4,C
Mumbai_737,20.9,F
Nueva York_738,42,C
Nueva York_739,109.7,F
Tokio_740,22.9,C
Mumbai_741,-12.1,C
Miami_742,31.5,F
Estocolmo_743,31.9,C
Seattle_744,-27.7,C
Lisboa_745,97.4,F
Atenas_746,103.6,F
Toronto_747,6.4,F
Varsovia_748,-9.2,F
Toronto_749,-13.7,F
Lisboa_750,44.7,C
Cancun_751,28,C
Lagos_752,53.4,F
Reykjavik_753,118.7,F
Madrid_754,40.6,C
Auckland_755,27.1,C
Phoenix_756,25.6,C
Tijuana_757,34.6,C
Caracas_758,117.2,F
Lisboa_759,-0.2,F
Puebla_760,33.7,C
Moscu_761,20.8,C
Moscu_762,66.3,F
Seattle_763,25.9,F
Berlin_764,-18.7,C
Caracas_765,-5.7,F
Pekín_766,1.3,F
Boston_767,-14.5,C
Sydney_768,9.8,F
Houston_769,17.4,C
Singapur_770,79.2,F
Singapur_771,-14.7,F
Nueva York_772,15,C
Toronto_773,17.2,C
Monterrey_774,20.6,C
Phoenix_775,42.3,F
Madrid_776,7,F
Paris_777,74,F
Guadalajara_778,46.1,C
Moscu_779,-14.5,F
Londres_780,-16,F
Nueva York_781,100.3,F
Lisboa_782,-13.3,C
Miami_783,-15.6,C
Madrid_784,27.8,C
Moscu_785,34,C
Dubai_786,-19.7,F
Houston_787,9,C
Tijuana_788,-21.2,F
Varsovia_789,30.1,C
Reykjavik_790,-9.1,C
Tokio_791,-7.4,C
Los Angeles_792,1.5,C
Seattle_793,-0.2,C
Bogota_794,28.3,C
Bangkok_795,30.1,F
Roma_796,58.1,F
Nueva York_797,15.4,F
Ankara_798,73.7,F
Honolulu_799,42.5,C
Sydney_800,49.4,C
Reykjavik_801,117.2,F
CDMX_802,44.5,F
Ankara_803,117,F
Helsinki_804,-5.4,C
Helsinki_805,103.8,F
Estocolmo_806,25,C
Los Angeles_807,-17.9,C
Seattle_808,17,C
Guadalajara_809,11.2,C
Auckland_810,9.3,C
Phoenix_811,13,C
Madrid_812,62.5,F
Los Angeles_813,66.8,F
Cairo_814,49.3,C
Cairo_815,45.8,C
CDMX_816,32.6,C
Auckland_817,117.2,F
Tokio_818,40.2,F
Berlin_819,46.3,C
Pekín_820,31.7,C
Moscu_821,70.6,F
Honolulu_822,75.6,F
Los Angeles_823,43.9,C
Estocolmo_824,37.3,C
Auckland_825,-11,F
Lagos_826,45.8,C
Londres_827,31.8,F
Roma_828,29.1,F
Guadalajara_829,115.8,F
Melbourne_830,0.8,C
Phoenix_831,37.4,F
Londres_832,-25.5,C
Guadalajara_833,13,C
Caracas_834,67.1,F
Houston_835,32.7,F
Reykjavik_836,5.3,C
Lagos_837,8.4,C
Tokio_838,17.2,C
Londres_839,63.6,F
Melbourne_840,-19.6,C
Nairobi_841,101.9,F
Londres_842,82.3,F
Madrid_843,11.1,C
Pekín_844,6.2,C
Santiago_845,-22.3,C
Buenos Aires_846,40.9,C
Las Vegas_847,-0.2,C
Los Angeles_848,39.5,C
Sydney_849,119.3,F
Lima_850,39.9,C
Seattle_851,-2.2,F
Boston_852,98.3,F
Nairobi_853,104.5,F
Oslo_854,26.1,C
Melbourne_855,-17.7,F
Helsinki_856,29.7,C
Madrid_857,40,F
Moscu_858,45.4,C
Miami_859,74.9,F
Ankara_860,31.8,C
Cairo_861,15.9,F
Nairobi_862,28,F
Ankara_863,35.3,F
Houston_864,36.7,C
Ankara_865,109.6,F
Ankara_866,4.6,F
Puebla_867,9.1,C
Chicago_868,-9.5,C
Bangkok_869,111.8,F
Houston_870,33,C
Lisboa_871,22.3,C
Singapur_872,7.5,C
Lima_873,-20.1,F
Bangkok_874,19.8,C
Santiago_875,34.3,C
Nueva York_876,44.4,F
Tijuana_877,-4.5,C
Ankara_878,24.3,C
Monterrey_879,20.6,C
Las Vegas_880,-19.8,C
Atenas_881,98.8,F
Oslo_882,47.4,C
Berlin_883,-0.7,C
Lima_884,49.5,C
Boston_885,117.3,F
Auckland_886,33.4,C
Honolulu_887,20.7,F
Honolulu_888,36.1,C
Denver_889,121.7,F
Mumbai_890,19.6,C
Las Vegas_891,-21.2,F
Houston_892,48.1,F
Las Vegas_893,-23.6,C
Moscu_894,4.6,C
Dubai_895,17.8,C
Los Angeles_896,47.4,F
Los Angeles_897,6.7,C
Nueva York_898,3.3,C
Sydney_899,35.4,C
Cancun_900,27.3,C
Santiago_901,-2.5,F
Sydney_902,4,C
Moscu_903,-8.4,C
Reykjavik_904,58.5,F
Madrid_905,110.9,F
Nueva York_906,-0.4,C
Miami_907,13.5,C
Puebla_908,-23.9,C
Lisboa_909,86,F
Helsinki_910,89.2,F
Auckland_911,18.3,C
Roma_912,46.5,C
Oslo_913,20.2,C
Budapest_914,90.6,F
Miami_915,29.5,F
Lisboa_916,41.1,F
Auckland_917,108.7,F
Cairo_918,22.4,C
Varsovia_919,79.5,F
Puebla_920,89,F
Reykjavik_921,73.6,F
Phoenix_922,-17.9,C
Nueva York_923,96.1,F
Cancun_924,-10.3,C
Lagos_925,11.7,F
Phoenix_926,106,F
Cairo_927,40.6,C
Estocolmo_928,63.7,F
Nairobi_929,-7.6,C
Los Angeles_930,17.6,C
Nairobi_931,36.3,F
Varsovia_932,-19,C
Ankara_933,110.4,F
Ankara_934,42.5,C
Moscu_935,-6.7,C
Atenas_936,16,C
Lagos_937,20.6,C
Budapest_938,16,C
Auckland_939,108.1,F
Boston_940,47.1,C
Las Vegas_941,31.1,C
Lagos_942,49.7,C
Estocolmo_943,-16.2,C
Monterrey_944,30,C
Berlin_945,119.6,F
Los Angeles_946,102.2,F
Helsinki_947,89.9,F
Paris_948,69.3,F
Paris_949,6,C
Auckland_950,-12.7,F
Toronto_951,92.6,F
Sydney_952,-5.6,C
CDMX_953,-2.9,F
Londres_954,110,F
Honolulu_955,22,C
Guadalajara_956,-25.1,C
Oslo_957,83.1,F
Tijuana_958,20.1,F
Caracas_959,47.6,F
Denver_960,42.3,F
Helsinki_961,-21.1,F
Cairo_962,49.8,C
Caracas_963,-19.5,F
Reykjavik_964,46.7,C
Londres_965,98.4,F
Madrid_966,-8.6,C
Caracas_967,87,F
Dubai_968,41.5,F
Budapest_969,50.1,F
Berlin_970,-17.9,F
Budapest_971,119,F
Helsinki_972,7,C
Los Angeles_973,45.7,C
Chicago_974,106.8,F
Cancun_975,30.7,C
Guadalajara_976,-16.1,F
Ankara_977,-13.3,C
Dubai_978,32.7,C
Roma_979,-2.6,C
Ankara_980,34.9,C
Varsovia_981,33,C
Melbourne_982,7.3,C
Miami_983,8.3,C
Boston_984,91,F
Helsinki_985,22,C
Tijuana_986,60.6,F
Estocolmo_987,43.3,C
Monterrey_988,44.5,F
Guadalajara_989,28.6,C
Houston_990,36.4,C
Bangkok_991,39.7,C
Lima_992,8.1,F
Buenos Aires_993,7.8,F
Denver_994,107.5,F
Houston_995,78.5,F
Oslo_996,95.8,F
Bogota_997,99.2,F
Estocolmo_998,60.6,F
Tokio_999,33.9,C
Nueva York_1000,11.1,C
Boston_1001,7.3,C
Honolulu_1002,-24.4,C
Boston_1003,-16.3,F
Mumbai_1004,37,C
Bogota_1005,1.9,C
Reykjavik_1006,12.6,F
Cancun_1007,116.6,F
Cairo_1008,-6.5,C
Buenos Aires_1009,23.9,C
Seattle_1010,116.4,F
Honolulu_1011,56.1,F
Pekín_1012,39,C
Boston_1013,-28,C
Phoenix_1014,34.1,F
Toronto_1015,56.5,F
Lima_1016,45.2,C
Toronto_1017,35.7,F
Pekín_1018,8.8,F
Bangkok_1019,25,C
Ankara_1020,-15.9,F
Toronto_1021,-2.3,C
Madrid_1022,-13.4,C
Atenas_1023,-15.4,F
Puebla_1024,85.9,F
Tijuana_1025,26,C
Lima_1026,88.4,F
CDMX_1027,29.3,C
Guadalajara_1028,118,F
Cancun_1029,99.6,F
Buenos Aires_1030,20.5,F
Auckland_1031,-17.1,F
Caracas_1032,-12.1,C
Londres_1033,106.4,F
Budapest_1034,9.2,C
Nairobi_1035,-7.5,C
Ankara_1036,11.9,C
Monterrey_1037,25.5,F
Santiago_1038,90.8,F
Bogota_1039,72.6,F
Mumbai_1040,9.4,C
Miami_1041,-4.3,F
Phoenix_1042,66.5,F
Tokio_1043,114.9,F
